variant,view,event_count,instrument_count,horizon,matured_count,endpoint_mean,endpoint_median,endpoint_p05,endpoint_p25,endpoint_p75,endpoint_p95,mfe_mean,mfe_median,mae_mean,mae_median,mfe_ge_3_count,mfe_ge_5_count,mfe_ge_10_count,mae_le_minus3_count,mae_le_minus5_count,mae_le_minus10_count,definition,mfe_ge_3_rate_matured,mfe_ge_5_rate_matured,mfe_ge_10_rate_matured,mae_le_minus3_rate_matured,mae_le_minus5_rate_matured,mae_le_minus10_rate_matured,barrier_5_before_minus5_up_first_count,barrier_5_before_minus5_up_first_rate_matured,barrier_5_before_minus5_down_first_count,barrier_5_before_minus5_same_session_unknown_count,barrier_5_before_minus5_same_session_unknown_rate_matured,barrier_5_before_minus5_neither_count,barrier_10_before_minus5_up_first_count,barrier_10_before_minus5_up_first_rate_matured,barrier_10_before_minus5_down_first_count,barrier_10_before_minus5_same_session_unknown_count,barrier_10_before_minus5_same_session_unknown_rate_matured,barrier_10_before_minus5_neither_count,time_to_3pct_hit_count,time_to_3pct_hit_rate_matured,time_to_3pct_mean_sessions_hit_only,time_to_3pct_median_sessions_hit_only,time_to_5pct_hit_count,time_to_5pct_hit_rate_matured,time_to_5pct_mean_sessions_hit_only,time_to_5pct_median_sessions_hit_only,time_to_10pct_hit_count,time_to_10pct_hit_rate_matured,time_to_10pct_mean_sessions_hit_only,time_to_10pct_median_sessions_hit_only
V1_LEGACY5_MA20,RAW_ANCHOR,2471,544,10,2453,0.03159758644502241,0.004830917874396135,-0.1569189005768578,-0.056291390728476824,0.08433734939759036,0.3247240835632639,0.12875002498363755,0.08150470219435736,-0.06721167047785155,-0.053231939163498096,1924,1605,1031,1696,1278,604,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.7843456991439054,0.6543008560945781,0.42030167142274766,0.6913982878108439,0.5209947003668977,0.2462291072156543,1321,0.5385242560130452,859,45,0.018344883815735832,228,803,0.3273542600896861,1169,4,0.0016306563391765185,477,1924,0.7843456991439054,2.4043659043659042,1.0,1605,0.6543008560945781,2.8610591900311526,2,1031,0.42030167142274766,4.252182347235694,3
V1_LEGACY5_MA20,DISTINCT_EPISODE,2471,544,1,2466,0.006369565324369373,-0.0005,-0.05929790355584727,-0.01972525042644447,0.026077108671032547,0.09906755651615165,0.03650475932761463,0.02552045953173328,-0.01803121265408065,-0.01739712473080729,1120,774,37,710,292,9,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.45417680454176806,0.31386861313868614,0.015004055150040552,0.28791565287915655,0.11841038118410381,0.0036496350364963502,735,0.2980535279805353,253,39,0.015815085158150853,1439,36,0.014598540145985401,291,1,0.00040551500405515005,2138,1120,0.45417680454176806,1.0,1.0,774,0.31386861313868614,1.0,1.0,37,0.015004055150040552,1.0,1
V1_LEGACY5_MA20,DISTINCT_EPISODE,2471,544,3,2464,0.012860606941845919,0.0,-0.09085763293310463,-0.03509239300313795,0.0422192244375343,0.17313272521185294,0.06734384793218781,0.04530262013428066,-0.03601628927902216,-0.030167413393071447,1532,1156,537,1244,724,185,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.6217532467532467,0.46915584415584416,0.21793831168831168,0.5048701298701299,0.29383116883116883,0.07508116883116883,1067,0.4330357142857143,559,45,0.018262987012987012,793,505,0.2049512987012987,709,4,0.0016233766233766235,1246,1532,0.6217532467532467,1.3759791122715406,1.0,1156,0.46915584415584416,1.4653979238754324,1.0,537,0.21793831168831168,2.206703910614525,2
V1_LEGACY5_MA20,DISTINCT_EPISODE,2471,544,5,2460,0.017213741885620498,0.0,-0.11748015873015873,-0.041331469658312685,0.05420054200542006,0.218408764367816,0.08786564420310276,0.05797894269495449,-0.04772058675728747,-0.03849521756702142,1699,1347,736,1468,971,329,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.6906504065040651,0.5475609756097561,0.2991869918699187,0.5967479674796748,0.39471544715447154,0.13373983739837397,1193,0.48495934959349596,721,45,0.018292682926829267,501,649,0.2638211382113821,937,4,0.0016260162601626016,870,1699,0.6906504065040651,1.681577398469688,1,1347,0.5475609756097561,1.888641425389755,1,736,0.2991869918699187,2.8002717391304346,2.0
V1_LEGACY5_MA20,DISTINCT_EPISODE,2471,544,10,2453,0.03159758644502241,0.004830917874396135,-0.1569189005768578,-0.056291390728476824,0.08433734939759036,0.3247240835632639,0.12875002498363755,0.08150470219435736,-0.06721167047785155,-0.053231939163498096,1924,1605,1031,1696,1278,604,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.7843456991439054,0.6543008560945781,0.42030167142274766,0.6913982878108439,0.5209947003668977,0.2462291072156543,1321,0.5385242560130452,859,45,0.018344883815735832,228,803,0.3273542600896861,1169,4,0.0016306563391765185,477,1924,0.7843456991439054,2.4043659043659042,1.0,1605,0.6543008560945781,2.8610591900311526,2,1031,0.42030167142274766,4.252182347235694,3
V2_LEGACY5_MA60,RAW_ANCHOR,2096,529,1,2093,0.0072377144636542835,0.0,-0.06172457386982867,-0.020802377414561663,0.030206677265500796,0.09916156175362506,0.038380307870967356,0.027737226277372264,-0.018700541465987812,-0.017985611510791366,1000,714,33,645,279,8,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.47778308647873863,0.3411371237458194,0.015766841853798376,0.30817009077878643,0.1333014811275681,0.003822264691829909,675,0.3225035833731486,240,39,0.018633540372670808,1139,32,0.015289058767319636,278,1,0.00047778308647873863,1782,1000,0.47778308647873863,1.0,1.0,714,0.3411371237458194,1.0,1.0,33,0.015766841853798376,1.0,1
V2_LEGACY5_MA60,RAW_ANCHOR,2096,529,3,2091,0.013447422541785622,0.0,-0.09482604817127566,-0.037884790766516664,0.045537002132611255,0.17997309816052956,0.0705932166972359,0.04830917874396135,-0.03772324585965097,-0.031914893617021274,1332,1024,490,1100,667,175,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.6370157819225251,0.48971783835485416,0.234337637494022,0.5260640841702535,0.31898613103778095,0.08369201339072214,937,0.4481109516977523,511,44,0.021042563366810138,599,459,0.21951219512195122,652,4,0.001912960306073649,976,1332,0.6370157819225251,1.3490990990990992,1.0,1024,0.48971783835485416,1.4248046875,1.0,490,0.234337637494022,2.1857142857142855,2.0
V2_LEGACY5_MA60,RAW_ANCHOR,2096,529,5,2087,0.01836148916554453,-0.0017793594306049821,-0.12366223479490805,-0.04418883736067041,0.05726411529741984,0.23225577532840094,0.09217538830116781,0.06060606060606061,-0.04993344616454711,-0.041025641025641026,1463,1174,663,1285,871,306,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.701006229036895,0.5625299472927647,0.317680881648299,0.6157163392429325,0.41734547196933397,0.14662194537613799,1028,0.492573071394346,639,44,0.021082894106372783,376,581,0.2783900335409679,837,4,0.0019166267369429804,665,1463,0.701006229036895,1.6295283663704716,1,1174,0.5625299472927647,1.813458262350937,1.0,663,0.317680881648299,2.760180995475113,2
V2_LEGACY5_MA60,RAW_ANCHOR,2096,529,10,2081,0.03532753618215683,0.005494505494505495,-0.16416184971098266,-0.059233449477351915,0.0959409594095941,0.3390804597701149,0.13672140156198173,0.08737864077669903,-0.07018193112255207,-0.05562130177514793,1646,1389,927,1469,1123,549,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.7909658817876021,0.6674675636713119,0.4454589139836617,0.7059106198942816,0.5396444017299376,0.2638154733301297,1128,0.5420470927438732,742,44,0.02114368092263335,167,713,0.3426237385872177,1020,4,0.0019221528111484864,344,1646,0.7909658817876021,2.3262454434993924,1.0,1389,0.6674675636713119,2.7544996400287975,1,927,0.4454589139836617,4.202804746494067,3
V2_LEGACY5_MA60,DISTINCT_EPISODE,2096,529,1,2093,0.0072377144636542835,0.0,-0.06172457386982867,-0.020802377414561663,0.030206677265500796,0.09916156175362506,0.038380307870967356,0.027737226277372264,-0.018700541465987812,-0.017985611510791366,1000,714,33,645,279,8,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.47778308647873863,0.3411371237458194,0.015766841853798376,0.30817009077878643,0.1333014811275681,0.003822264691829909,675,0.3225035833731486,240,39,0.018633540372670808,1139,32,0.015289058767319636,278,1,0.00047778308647873863,1782,1000,0.47778308647873863,1.0,1.0,714,0.3411371237458194,1.0,1.0,33,0.015766841853798376,1.0,1
V2_LEGACY5_MA60,DISTINCT_EPISODE,2096,529,3,2091,0.013447422541785622,0.0,-0.09482604817127566,-0.037884790766516664,0.045537002132611255,0.17997309816052956,0.0705932166972359,0.04830917874396135,-0.03772324585965097,-0.031914893617021274,1332,1024,490,1100,667,175,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.6370157819225251,0.48971783835485416,0.234337637494022,0.5260640841702535,0.31898613103778095,0.08369201339072214,937,0.4481109516977523,511,44,0.021042563366810138,599,459,0.21951219512195122,652,4,0.001912960306073649,976,1332,0.6370157819225251,1.3490990990990992,1.0,1024,0.48971783835485416,1.4248046875,1.0,490,0.234337637494022,2.1857142857142855,2.0
V2_LEGACY5_MA60,DISTINCT_EPISODE,2096,529,5,2087,0.01836148916554453,-0.0017793594306049821,-0.12366223479490805,-0.04418883736067041,0.05726411529741984,0.23225577532840094,0.09217538830116781,0.06060606060606061,-0.04993344616454711,-0.041025641025641026,1463,1174,663,1285,871,306,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.701006229036895,0.5625299472927647,0.317680881648299,0.6157163392429325,0.41734547196933397,0.14662194537613799,1028,0.492573071394346,639,44,0.021082894106372783,376,581,0.2783900335409679,837,4,0.0019166267369429804,665,1463,0.701006229036895,1.6295283663704716,1,1174,0.5625299472927647,1.813458262350937,1.0,663,0.317680881648299,2.760180995475113,2
V2_LEGACY5_MA60,DISTINCT_EPISODE,2096,529,10,2081,0.03532753618215683,0.005494505494505495,-0.16416184971098266,-0.059233449477351915,0.0959409594095941,0.3390804597701149,0.13672140156198173,0.08737864077669903,-0.07018193112255207,-0.05562130177514793,1646,1389,927,1469,1123,549,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.7909658817876021,0.6674675636713119,0.4454589139836617,0.7059106198942816,0.5396444017299376,0.2638154733301297,1128,0.5420470927438732,742,44,0.02114368092263335,167,713,0.3426237385872177,1020,4,0.0019221528111484864,344,1646,0.7909658817876021,2.3262454434993924,1.0,1389,0.6674675636713119,2.7544996400287975,1,927,0.4454589139836617,4.202804746494067,3
V3_LEGACY5_MA20_MA60,RAW_ANCHOR,2096,529,1,2093,0.0072377144636542835,0.0,-0.06172457386982867,-0.020802377414561663,0.030206677265500796,0.09916156175362506,0.038380307870967356,0.027737226277372264,-0.018700541465987812,-0.017985611510791366,1000,714,33,645,279,8,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.47778308647873863,0.3411371237458194,0.015766841853798376,0.30817009077878643,0.1333014811275681,0.003822264691829909,675,0.3225035833731486,240,39,0.018633540372670808,1139,32,0.015289058767319636,278,1,0.00047778308647873863,1782,1000,0.47778308647873863,1.0,1.0,714,0.3411371237458194,1.0,1.0,33,0.015766841853798376,1.0,1
V3_LEGACY5_MA20_MA60,RAW_ANCHOR,2096,529,3,2091,0.013447422541785622,0.0,-0.09482604817127566,-0.037884790766516664,0.045537002132611255,0.17997309816052956,0.0705932166972359,0.04830917874396135,-0.03772324585965097,-0.031914893617021274,1332,1024,490,1100,667,175,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.6370157819225251,0.48971783835485416,0.234337637494022,0.5260640841702535,0.31898613103778095,0.08369201339072214,937,0.4481109516977523,511,44,0.021042563366810138,599,459,0.21951219512195122,652,4,0.001912960306073649,976,1332,0.6370157819225251,1.3490990990990992,1.0,1024,0.48971783835485416,1.4248046875,1.0,490,0.234337637494022,2.1857142857142855,2.0
V3_LEGACY5_MA20_MA60,RAW_ANCHOR,2096,529,5,2087,0.01836148916554453,-0.0017793594306049821,-0.12366223479490805,-0.04418883736067041,0.05726411529741984,0.23225577532840094,0.09217538830116781,0.06060606060606061,-0.04993344616454711,-0.041025641025641026,1463,1174,663,1285,871,306,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.701006229036895,0.5625299472927647,0.317680881648299,0.6157163392429325,0.41734547196933397,0.14662194537613799,1028,0.492573071394346,639,44,0.021082894106372783,376,581,0.2783900335409679,837,4,0.0019166267369429804,665,1463,0.701006229036895,1.6295283663704716,1,1174,0.5625299472927647,1.813458262350937,1.0,663,0.317680881648299,2.760180995475113,2
V3_LEGACY5_MA20_MA60,RAW_ANCHOR,2096,529,10,2081,0.03532753618215683,0.005494505494505495,-0.16416184971098266,-0.059233449477351915,0.0959409594095941,0.3390804597701149,0.13672140156198173,0.08737864077669903,-0.07018193112255207,-0.05562130177514793,1646,1389,927,1469,1123,549,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.7909658817876021,0.6674675636713119,0.4454589139836617,0.7059106198942816,0.5396444017299376,0.2638154733301297,1128,0.5420470927438732,742,44,0.02114368092263335,167,713,0.3426237385872177,1020,4,0.0019221528111484864,344,1646,0.7909658817876021,2.3262454434993924,1.0,1389,0.6674675636713119,2.7544996400287975,1,927,0.4454589139836617,4.202804746494067,3
V3_LEGACY5_MA20_MA60,DISTINCT_EPISODE,2096,529,1,2093,0.0072377144636542835,0.0,-0.06172457386982867,-0.020802377414561663,0.030206677265500796,0.09916156175362506,0.038380307870967356,0.027737226277372264,-0.018700541465987812,-0.017985611510791366,1000,714,33,645,279,8,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.47778308647873863,0.3411371237458194,0.015766841853798376,0.30817009077878643,0.1333014811275681,0.003822264691829909,675,0.3225035833731486,240,39,0.018633540372670808,1139,32,0.015289058767319636,278,1,0.00047778308647873863,1782,1000,0.47778308647873863,1.0,1.0,714,0.3411371237458194,1.0,1.0,33,0.015766841853798376,1.0,1
V3_LEGACY5_MA20_MA60,DISTINCT_EPISODE,2096,529,3,2091,0.013447422541785622,0.0,-0.09482604817127566,-0.037884790766516664,0.045537002132611255,0.17997309816052956,0.0705932166972359,0.04830917874396135,-0.03772324585965097,-0.031914893617021274,1332,1024,490,1100,667,175,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.6370157819225251,0.48971783835485416,0.234337637494022,0.5260640841702535,0.31898613103778095,0.08369201339072214,937,0.4481109516977523,511,44,0.021042563366810138,599,459,0.21951219512195122,652,4,0.001912960306073649,976,1332,0.6370157819225251,1.3490990990990992,1.0,1024,0.48971783835485416,1.4248046875,1.0,490,0.234337637494022,2.1857142857142855,2.0
V3_LEGACY5_MA20_MA60,DISTINCT_EPISODE,2096,529,5,2087,0.01836148916554453,-0.0017793594306049821,-0.12366223479490805,-0.04418883736067041,0.05726411529741984,0.23225577532840094,0.09217538830116781,0.06060606060606061,-0.04993344616454711,-0.041025641025641026,1463,1174,663,1285,871,306,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.701006229036895,0.5625299472927647,0.317680881648299,0.6157163392429325,0.41734547196933397,0.14662194537613799,1028,0.492573071394346,639,44,0.021082894106372783,376,581,0.2783900335409679,837,4,0.0019166267369429804,665,1463,0.701006229036895,1.6295283663704716,1,1174,0.5625299472927647,1.813458262350937,1.0,663,0.317680881648299,2.760180995475113,2
V3_LEGACY5_MA20_MA60,DISTINCT_EPISODE,2096,529,10,2081,0.03532753618215683,0.005494505494505495,-0.16416184971098266,-0.059233449477351915,0.0959409594095941,0.3390804597701149,0.13672140156198173,0.08737864077669903,-0.07018193112255207,-0.05562130177514793,1646,1389,927,1469,1123,549,Existing committed Legacy-5 endpoint/MFE/MAE rows; event-level barrier/time reconstructed from the same accepted future OHLC sessions; descriptive only,0.7909658817876021,0.6674675636713119,0.4454589139836617,0.7059106198942816,0.5396444017299376,0.2638154733301297,1128,0.5420470927438732,742,44,0.02114368092263335,167,713,0.3426237385872177,1020,4,0.0019221528111484864,344,1646,0.7909658817876021,2.3262454434993924,1.0,1389,0.6674675636713119,2.7544996400287975,1,927,0.4454589139836617,4.202804746494067,3
